Description,Nutrient Name,Published Date,Unit Name,Value
Apple,"Copper, Cu",4/1/2020,MG,0.027
Apple,"Selenium, Se",4/1/2020,UG,0
Apple,Retinol,4/1/2020,UG,0
Apple,"Vitamin A, RAE",4/1/2020,UG,3
Apple,"Carotene, beta",4/1/2020,UG,27
Apple,"Carotene, alpha",4/1/2020,UG,0
Apple,Vitamin E (alpha-tocopherol),4/1/2020,MG,0.18
Apple,Vitamin D (D2 + D3),4/1/2020,UG,0
Apple,"Cryptoxanthin, beta",4/1/2020,UG,11
Apple,Lycopene,4/1/2020,UG,0
Apple,Lutein + zeaxanthin,4/1/2020,UG,29
Apple,"Vitamin C, total ascorbic acid",4/1/2020,MG,4.6
Apple,Thiamin,4/1/2020,MG,0.017
Apple,Riboflavin,4/1/2020,MG,0.026
Apple,Niacin,4/1/2020,MG,0.091
Apple,Vitamin B-6,4/1/2020,MG,0.041
Apple,"Folate, total",4/1/2020,UG,3
Apple,Vitamin B-12,4/1/2020,UG,0
Apple,"Choline, total",4/1/2020,MG,3.4
Apple,Vitamin K (phylloquinone),4/1/2020,UG,2.2
Apple,Folic acid,4/1/2020,UG,0
Apple,"Folate, food",4/1/2020,UG,3
Apple,"Folate, DFE",4/1/2020,UG,3
Apple,"Vitamin E, added",4/1/2020,MG,0
Apple,"Vitamin B-12, added",4/1/2020,UG,0
Apple,Cholesterol,4/1/2020,MG,0
Apple,"Fatty acids, total saturated",4/1/2020,G,0.028
Apple,"Fatty acids, total monounsaturated",4/1/2020,G,0.007
Apple,"Fatty acids, total polyunsaturated",4/1/2020,G,0.051
Apricot,Protein,4/1/2020,G,1.4
Apricot,Total lipid (fat),4/1/2020,G,0.39
Apricot,"Carbohydrate, by difference",4/1/2020,G,11.12
Apricot,Energy,4/1/2020,KCAL,48
Apricot,"Alcohol, ethyl",4/1/2020,G,0
Apricot,Water,4/1/2020,G,86.35
Apricot,Caffeine,4/1/2020,MG,0
Apricot,Theobromine,4/1/2020,MG,0
Apricot,"Sugars, total including NLEA",4/1/2020,G,9.24
Apricot,"Fiber, total dietary",4/1/2020,G,2
Apricot,"Calcium, Ca",4/1/2020,MG,13
Apricot,"Iron, Fe",4/1/2020,MG,0.39
Apricot,"Magnesium, Mg",4/1/2020,MG,10
Apricot,"Phosphorus, P",4/1/2020,MG,23
Apricot,"Potassium, K",4/1/2020,MG,259
Apricot,"Sodium, Na",4/1/2020,MG,1
Apricot,"Zinc, Zn",4/1/2020,MG,0.2
Apricot,"Copper, Cu",4/1/2020,MG,0.078
Apricot,"Selenium, Se",4/1/2020,UG,0.1
Apricot,Retinol,4/1/2020,UG,0
Apricot,"Vitamin A, RAE",4/1/2020,UG,96
Apricot,"Carotene, beta",4/1/2020,UG,1094
Apricot,"Carotene, alpha",4/1/2020,UG,19
Apricot,Vitamin E (alpha-tocopherol),4/1/2020,MG,0.89
Apricot,Vitamin D (D2 + D3),4/1/2020,UG,0
Apricot,"Cryptoxanthin, beta",4/1/2020,UG,104
Apricot,Lycopene,4/1/2020,UG,0
Apricot,Lutein + zeaxanthin,4/1/2020,UG,89
Apricot,"Vitamin C, total ascorbic acid",4/1/2020,MG,10
Apricot,Thiamin,4/1/2020,MG,0.03
Apricot,Riboflavin,4/1/2020,MG,0.04
Apricot,Niacin,4/1/2020,MG,0.6
Apricot,Vitamin B-6,4/1/2020,MG,0.054
Apricot,"Folate, total",4/1/2020,UG,9
Apricot,Vitamin B-12,4/1/2020,UG,0
Apricot,"Choline, total",4/1/2020,MG,2.8
Apricot,Vitamin K (phylloquinone),4/1/2020,UG,3.3
Apricot,Folic acid,4/1/2020,UG,0
Apricot,"Folate, food",4/1/2020,UG,9
Apricot,"Folate, DFE",4/1/2020,UG,9
Apricot,"Vitamin E, added",4/1/2020,MG,0
Apricot,"Vitamin B-12, added",4/1/2020,UG,0
Apricot,Cholesterol,4/1/2020,MG,0
Apricot,"Fatty acids, total saturated",4/1/2020,G,0.027
Apricot,"Fatty acids, total monounsaturated",4/1/2020,G,0.17
Apricot,"Fatty acids, total polyunsaturated",4/1/2020,G,0.077
Apricots,Folic acid,4/1/2019,UG,0
Apricots,Fructose,4/1/2019,G,0.94
Apricots,Lactose,4/1/2019,G,0
Apricots,Galactose,4/1/2019,G,0
Apricots,"Fiber, total dietary",4/1/2019,G,2
Apricots,"Iron, Fe",4/1/2019,MG,0.39
Apricots,"Magnesium, Mg",4/1/2019,MG,10
Apricots,"Phosphorus, P",4/1/2019,MG,23
Apricots,"Vitamin A, RAE",4/1/2019,UG,96
Apricots,"Copper, Cu",4/1/2019,MG,0.078
Apricots,"Manganese, Mn",4/1/2019,MG,0.077
Apricots,"Vitamin A, IU",4/1/2019,IU,1926
Apricots,"Carotene, beta",4/1/2019,UG,1094
Apricots,"Carotene, alpha",4/1/2019,UG,19
Apricots,"Cryptoxanthin, beta",4/1/2019,UG,104
Apricots,Lycopene,4/1/2019,UG,0
Apricots,Vitamin K (phylloquinone),4/1/2019,UG,3.3
Apricots,Sucrose,4/1/2019,G,5.87
Apricots,Glucose (dextrose),4/1/2019,G,2.37
Apricots,Maltose,4/1/2019,G,0.06
Apricots,Caffeine,4/1/2019,MG,0
Apricots,Theobromine,4/1/2019,MG,0
Apricots,"Calcium, Ca",4/1/2019,MG,13
Apricots,"Potassium, K",4/1/2019,MG,259
Apricots,"Zinc, Zn",4/1/2019,MG,0.2
Apricots,"Selenium, Se",4/1/2019,UG,0.1
Apricots,Vitamin E (alpha-tocopherol),4/1/2019,MG,0.89
Apricots,Lutein + zeaxanthin,4/1/2019,UG,89
Apricots,"Vitamin D (D2 + D3), International Units",4/1/2019,IU,0
Apricots,"Fatty acids, total trans",4/1/2019,G,0
Apricots,"Alcohol, ethyl",4/1/2019,G,0
Apricots,Retinol,4/1/2019,UG,0
Apricots,"Fatty acids, total saturated",4/1/2019,G,0.027
Apricots,"Vitamin C, total ascorbic acid",4/1/2019,MG,10
Apricots,Thiamin,4/1/2019,MG,0.03
Apricots,Riboflavin,4/1/2019,MG,0.04
Apricots,"Folate, total",4/1/2019,UG,9
Apricots,Vitamin B-12,4/1/2019,UG,0
Apricots,Phytosterols,4/1/2019,MG,18
Apricots,Tryptophan,4/1/2019,G,0.015
Apricots,Threonine,4/1/2019,G,0.047
Apricots,Methionine,4/1/2019,G,0.006
Apricots,Phenylalanine,4/1/2019,G,0.052
Apricots,Tyrosine,4/1/2019,G,0.029
Apricots,Alanine,4/1/2019,G,0.068
Apricots,Glutamic acid,4/1/2019,G,0.157
Apricots,Glycine,4/1/2019,G,0.04
Apricots,Proline,4/1/2019,G,0.101
Apricots,Protein,4/1/2019,G,1.4
Apricots,Ash,4/1/2019,G,0.75
Apricots,"Sodium, Na",4/1/2019,MG,1
Apricots,Cholesterol,4/1/2019,MG,0
Apricots,Total lipid (fat),4/1/2019,G,0.39
Apricots,"Carbohydrate, by difference",4/1/2019,G,11.12
Apricots,Energy,4/1/2019,KCAL,48
Apricots,Water,4/1/2019,G,86.35
Apricots,"Fatty acids, total monounsaturated",4/1/2019,G,0.17
Apricots,"Fatty acids, total polyunsaturated",4/1/2019,G,0.077
Apricots,Niacin,4/1/2019,MG,0.6
Apricots,Pantothenic acid,4/1/2019,MG,0.24
Apricots,Vitamin B-6,4/1/2019,MG,0.054
Apricots,Isoleucine,4/1/2019,G,0.041
Apricots,Leucine,4/1/2019,G,0.077
Apricots,Lysine,4/1/2019,G,0.097
Apricots,Cystine,4/1/2019,G,0.003
Apricots,Valine,4/1/2019,G,0.047
Apricots,Arginine,4/1/2019,G,0.045
Apricots,Histidine,4/1/2019,G,0.027
Apricots,Aspartic acid,4/1/2019,G,0.314
Apricots,Serine,4/1/2019,G,0.083
Apricots,"Vitamin E, added",4/1/2019,MG,0
Apricots,"Vitamin B-12, added",4/1/2019,UG,0
Apricots,Vitamin D (D2 + D3),4/1/2019,UG,0
Apricots,"Sugars, total including NLEA",4/1/2019,G,9.24
Apricots,"Choline, total",4/1/2019,MG,2.8
Apricots,"Folate, DFE",4/1/2019,UG,9
Apricots,Energy,4/1/2019,kJ,201
Apricots,"Folate, food",4/1/2019,UG,9
Arrowhead,Energy,4/1/2019,kJ,414
Arrowhead,Folic acid,4/1/2019,UG,0
Arrowhead,"Folate, DFE",4/1/2019,UG,14
Arrowhead,"Vitamin D (D2 + D3), International Units",4/1/2019,IU,0
Arrowhead,Retinol,4/1/2019,UG,0
Arrowhead,"Vitamin A, RAE",4/1/2019,UG,0
Arrowhead,"Fatty acids, total trans",4/1/2019,G,0
Arrowhead,Total lipid (fat),4/1/2019,G,0.29
Arrowhead,"Carbohydrate, by difference",4/1/2019,G,20.23
Arrowhead,Energy,4/1/2019,KCAL,99
Arrowhead,Water,4/1/2019,G,72.48
Arrowhead,"Calcium, Ca",4/1/2019,MG,10
Arrowhead,"Potassium, K",4/1/2019,MG,922
Arrowhead,"Zinc, Zn",4/1/2019,MG,0.28
Arrowhead,Niacin,4/1/2019,MG,1.65
Arrowhead,Pantothenic acid,4/1/2019,MG,0.599
Arrowhead,Vitamin B-6,4/1/2019,MG,0.26
Arrowhead,Protein,4/1/2019,G,5.33
Arrowhead,Ash,4/1/2019,G,1.67
Arrowhead,"Vitamin C, total ascorbic acid",4/1/2019,MG,1.1
Arrowhead,Thiamin,4/1/2019,MG,0.17
Arrowhead,Riboflavin,4/1/2019,MG,0.073
Arrowhead,"Folate, total",4/1/2019,UG,14
Arrowhead,Vitamin B-12,4/1/2019,UG,0
Arrowhead,"Iron, Fe",4/1/2019,MG,2.57
Arrowhead,"Magnesium, Mg",4/1/2019,MG,51
Arrowhead,"Phosphorus, P",4/1/2019,MG,174
Arrowhead,"Sodium, Na",4/1/2019,MG,22
Arrowhead,"Copper, Cu",4/1/2019,MG,0.171
Arrowhead,"Manganese, Mn",4/1/2019,MG,0.36
Arrowhead,"Vitamin A, IU",4/1/2019,IU,0
Arrowhead,Cholesterol,4/1/2019,MG,0
Arrowhead,Vitamin D (D2 + D3),4/1/2019,UG,0
Arrowhead,"Folate, food",4/1/2019,UG,14
Arrowhead,"Selenium, Se",4/1/2019,UG,0.7
Arrowroot,Folic acid,4/1/2019,UG,0
Arrowroot,"Vitamin D (D2 + D3), International Units",4/1/2019,IU,0
Arrowroot,Retinol,4/1/2019,UG,0
Arrowroot,"Carbohydrate, by difference",4/1/2019,G,13.39
Arrowroot,Energy,4/1/2019,KCAL,65
Arrowroot,"Folate, DFE",4/1/2019,UG,338
Arrowroot,"Vitamin A, RAE",4/1/2019,UG,1
Arrowroot,"Carotene, beta",4/1/2019,UG,11
Arrowroot,"Carotene, alpha",4/1/2019,UG,0
Arrowroot,"Cryptoxanthin, beta",4/1/2019,UG,0
Arrowroot,"Folate, food",4/1/2019,UG,338
Arrowroot,"Vitamin A, IU",4/1/2019,IU,19
Arrowroot,Energy,4/1/2019,kJ,271
Arrowroot,"Fatty acids, total trans",4/1/2019,G,0
Arrowroot,Vitamin D (D2 + D3),4/1/2019,UG,0
Arrowroot,Total lipid (fat),4/1/2019,G,0.2
Arrowroot,Water,4/1/2019,G,80.75
Arrowroot,"Calcium, Ca",4/1/2019,MG,6
Arrowroot,"Potassium, K",4/1/2019,MG,454
Arrowroot,"Zinc, Zn",4/1/2019,MG,0.63
Arrowroot,Niacin,4/1/2019,MG,1.693
Arrowroot,Pantothenic acid,4/1/2019,MG,0.292
Arrowroot,Vitamin B-6,4/1/2019,MG,0.266
Arrowroot,"Fatty acids, total monounsaturated",4/1/2019,G,0.004
Arrowroot,"Fatty acids, total polyunsaturated",4/1/2019,G,0.092
Arrowroot,Protein,4/1/2019,G,4.24
Arrowroot,Ash,4/1/2019,G,1.42
Arrowroot,"Fiber, total dietary",4/1/2019,G,1.3
Arrowroot,"Iron, Fe",4/1/2019,MG,2.22
Arrowroot,"Magnesium, Mg",4/1/2019,MG,25
Arrowroot,"Phosphorus, P",4/1/2019,MG,98
Arrowroot,"Sodium, Na",4/1/2019,MG,26
Arrowroot,"Copper, Cu",4/1/2019,MG,0.121
Arrowroot,"Manganese, Mn",4/1/2019,MG,0.174
Arrowroot,"Fatty acids, total saturated",4/1/2019,G,0.039
Arrowroot,"Vitamin C, total ascorbic acid",4/1/2019,MG,1.9
Arrowroot,Thiamin,4/1/2019,MG,0.143
Arrowroot,Riboflavin,4/1/2019,MG,0.059
Arrowroot,"Folate, total",4/1/2019,UG,338
Arrowroot,Vitamin B-12,4/1/2019,UG,0
Arrowroot,Cholesterol,4/1/2019,MG,0
Arrowroot,"Selenium, Se",4/1/2019,UG,0.7
Arugula,Folic acid,4/1/2019,UG,0
Arugula,"Fatty acids, total saturated",4/1/2019,G,0.086
Arugula,"Fatty acids, total monounsaturated",4/1/2019,G,0.049
Arugula,"Fatty acids, total polyunsaturated",4/1/2019,G,0.319
Arugula,Caffeine,4/1/2019,MG,0
Arugula,Theobromine,4/1/2019,MG,0
Arugula,"Sugars, total including NLEA",4/1/2019,G,2.05
Arugula,"Carbohydrate, by difference",4/1/2019,G,3.65
Arugula,Vitamin E (alpha-tocopherol),4/1/2019,MG,0.43
Arugula,Lutein + zeaxanthin,4/1/2019,UG,3555
Arugula,"Cryptoxanthin, beta",4/1/2019,UG,0
Arugula,Lycopene,4/1/2019,UG,0
Arugula,"Carotene, beta",4/1/2019,UG,1424
Arugula,"Carotene, alpha",4/1/2019,UG,0
Arugula,"Alcohol, ethyl",4/1/2019,G,0
Arugula,Retinol,4/1/2019,UG,0
Arugula,Vitamin K (phylloquinone),4/1/2019,UG,108.6
Arugula,"Vitamin D (D2 + D3), International Units",4/1/2019,IU,0
Arugula,"Fiber, total dietary",4/1/2019,G,1.6
Arugula,"Fatty acids, total trans",4/1/2019,G,0
Arugula,Protein,4/1/2019,G,2.58
Arugula,Ash,4/1/2019,G,1.4
Arugula,"Iron, Fe",4/1/2019,MG,1.46
Arugula,"Magnesium, Mg",4/1/2019,MG,47
Arugula,"Phosphorus, P",4/1/2019,MG,52
Arugula,"Sodium, Na",4/1/2019,MG,27
Arugula,"Copper, Cu",4/1/2019,MG,0.076
Arugula,"Manganese, Mn",4/1/2019,MG,0.321
Arugula,"Vitamin C, total ascorbic acid",4/1/2019,MG,15
Arugula,Thiamin,4/1/2019,MG,0.044
Arugula,Riboflavin,4/1/2019,MG,0.086
Arugula,"Folate, total",4/1/2019,UG,97
Arugula,Cholesterol,4/1/2019,MG,0
Arugula,Vitamin B-12,4/1/2019,UG,0
Arugula,Total lipid (fat),4/1/2019,G,0.66
Arugula,Water,4/1/2019,G,91.71
Arugula,"Calcium, Ca",4/1/2019,MG,160
Arugula,"Potassium, K",4/1/2019,MG,369
Arugula,"Zinc, Zn",4/1/2019,MG,0.47
Arugula,Niacin,4/1/2019,MG,0.305
Arugula,Pantothenic acid,4/1/2019,MG,0.437
Arugula,Vitamin B-6,4/1/2019,MG,0.073
Arugula,"Vitamin E, added",4/1/2019,MG,0
Arugula,"Vitamin B-12, added",4/1/2019,UG,0
Arugula,Vitamin D (D2 + D3),4/1/2019,UG,0
Arugula,"Selenium, Se",4/1/2019,UG,0.3
Arugula,"Choline, total",4/1/2019,MG,15.3
Arugula,Energy,4/1/2019,KCAL,25
Arugula,"Folate, DFE",4/1/2019,UG,97
Arugula,Betaine,4/1/2019,MG,0.1
Arugula,"Folate, food",4/1/2019,UG,97
Arugula,"Vitamin A, RAE",4/1/2019,UG,119
Arugula,Energy,4/1/2019,kJ,105
Arugula,"Vitamin A, IU",4/1/2019,IU,2373
Asparagus,Folic acid,4/1/2019,UG,0
Asparagus,"Vitamin D (D2 + D3), International Units",4/1/2019,IU,0
Asparagus,"Fatty acids, total saturated",4/1/2019,G,0.04
Asparagus,"Tocopherol, delta",4/1/2019,MG,0
Asparagus,"Vitamin C, total ascorbic acid",4/1/2019,MG,5.6
Asparagus,"Folate, total",4/1/2019,UG,52
Asparagus,"Folate, food",4/1/2019,UG,52
Asparagus,Tryptophan,4/1/2019,G,0.027
Asparagus,Threonine,4/1/2019,G,0.084
Asparagus,Methionine,4/1/2019,G,0.031
Asparagus,Phenylalanine,4/1/2019,G,0.075
Asparagus,Tyrosine,4/1/2019,G,0.052
Asparagus,Alanine,4/1/2019,G,0.115
Asparagus,Glutamic acid,4/1/2019,G,0.233
Asparagus,Glycine,4/1/2019,G,0.093
Asparagus,Proline,4/1/2019,G,0.071
Asparagus,Protein,4/1/2019,G,2.2
Asparagus,"Tocopherol, beta",4/1/2019,MG,0
Asparagus,"Tocopherol, gamma",4/1/2019,MG,0.09
Asparagus,Betaine,4/1/2019,MG,0.6
Asparagus,Isoleucine,4/1/2019,G,0.075
Asparagus,Leucine,4/1/2019,G,0.128
Asparagus,Lysine,4/1/2019,G,0.104
Asparagus,Cystine,4/1/2019,G,0.031
Asparagus,Valine,4/1/2019,G,0.115
Asparagus,Arginine,4/1/2019,G,0.091
Asparagus,Histidine,4/1/2019,G,0.049
Asparagus,Aspartic acid,4/1/2019,G,0.508
Asparagus,Serine,4/1/2019,G,0.106
Asparagus,Vitamin E (alpha-tocopherol),4/1/2019,MG,1.13
Asparagus,"Sugars, total including NLEA",4/1/2019,G,1.88
Asparagus,"Fatty acids, total monounsaturated",4/1/2019,G,0
Asparagus,"Fatty acids, total polyunsaturated",4/1/2019,G,0.05
Asparagus,"Choline, total",4/1/2019,MG,16
Asparagus,"Alcohol, ethyl",4/1/2019,G,0
Asparagus,Retinol,4/1/2019,UG,0
Asparagus,"Fatty acids, total trans",4/1/2019,G,0
Asparagus,"Sodium, Na",4/1/2019,MG,2
Asparagus,Cholesterol,4/1/2019,MG,0
Asparagus,Phytosterols,4/1/2019,MG,24
Asparagus,Vitamin B-12,4/1/2019,UG,0
Asparagus,"Carbohydrate, by difference",4/1/2019,G,3.88
Asparagus,Energy,4/1/2019,KCAL,20
Asparagus,"Folate, DFE",4/1/2019,UG,52
Asparagus,Energy,4/1/2019,kJ,85
Asparagus,"Vitamin A, RAE",4/1/2019,UG,38
Asparagus,"Vitamin A, IU",4/1/2019,IU,756
Asparagus,"Vitamin B-12, added",4/1/2019,UG,0
Asparagus,"Vitamin E, added",4/1/2019,MG,0
Asparagus,Vitamin D (D2 + D3),4/1/2019,UG,0
Asparagus,"Selenium, Se",4/1/2019,UG,2.3
Asparagus,"Cryptoxanthin, beta",4/1/2019,UG,0
Asparagus,Lycopene,4/1/2019,UG,0
Asparagus,"Carotene, beta",4/1/2019,UG,449
Asparagus,"Carotene, alpha",4/1/2019,UG,9
Asparagus,"Copper, Cu",4/1/2019,MG,0.189
Asparagus,"Manganese, Mn",4/1/2019,MG,0.158
Asparagus,Galactose,4/1/2019,G,0
Asparagus,"Fiber, total dietary",4/1/2019,G,2.1
Asparagus,"Iron, Fe",4/1/2019,MG,2.14
Asparagus,"Magnesium, Mg",4/1/2019,MG,14
Asparagus,"Phosphorus, P",4/1/2019,MG,52
Asparagus,Ash,4/1/2019,G,0.58
Asparagus,Fructose,4/1/2019,G,1
Asparagus,Lactose,4/1/2019,G,0
Asparagus,Vitamin K (Dihydrophylloquinone),4/1/2019,UG,0
Asparagus,Vitamin K (phylloquinone),4/1/2019,UG,41.6
Asparagus,Thiamin,4/1/2019,MG,0.143
Asparagus,Riboflavin,4/1/2019,MG,0.141
Asparagus,Total lipid (fat),4/1/2019,G,0.12
Asparagus,"Calcium, Ca",4/1/2019,MG,24
Asparagus,"Potassium, K",4/1/2019,MG,202
Asparagus,"Zinc, Zn",4/1/2019,MG,0.54
Asparagus,Sucrose,4/1/2019,G,0.23
Asparagus,Glucose (dextrose),4/1/2019,G,0.65
Asparagus,Maltose,4/1/2019,G,0
Asparagus,Water,4/1/2019,G,93.22
Asparagus,Caffeine,4/1/2019,MG,0
Asparagus,Theobromine,4/1/2019,MG,0
