Additional Descriptions,All Highlight Fields,Common Names,Data Type,Derivation Code,Derivation Description,Description,Document Index (generated),Fdc Id,Food Code,foodNutrients Index (generated),foods Index (generated),Ndb Number,Nutrient Id,Nutrient Name,Nutrient Number,Published Date,Scientific Name,Unit Name,Number of Records per result.json,Score,Value
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,26,1,,1120,"Cryptoxanthin, beta",334,4/1/2020,,UG,1,325.8743,6
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,27,1,,1122,Lycopene,337,4/1/2020,,UG,1,325.8743,1135
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,28,1,,1123,Lutein + zeaxanthin,338,4/1/2020,,UG,1,325.8743,6
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,29,1,,1162,"Vitamin C, total ascorbic acid",401,4/1/2020,,MG,1,325.8743,34.4
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,30,1,,1165,Thiamin,404,4/1/2020,,MG,1,325.8743,0.036
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,31,1,,1166,Riboflavin,405,4/1/2020,,MG,1,325.8743,0.02
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,32,1,,1167,Niacin,406,4/1/2020,,MG,1,325.8743,0.25
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,33,1,,1175,Vitamin B-6,415,4/1/2020,,MG,1,325.8743,0.042
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,34,1,,1177,"Folate, total",417,4/1/2020,,UG,1,325.8743,10
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,35,1,,1178,Vitamin B-12,418,4/1/2020,,UG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,36,1,,1180,"Choline, total",421,4/1/2020,,MG,1,325.8743,7.7
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,37,1,,1185,Vitamin K (phylloquinone),430,4/1/2020,,UG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,38,1,,1186,Folic acid,431,4/1/2020,,UG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,39,1,,1187,"Folate, food",432,4/1/2020,,UG,1,325.8743,10
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,40,1,,1190,"Folate, DFE",435,4/1/2020,,UG,1,325.8743,10
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,41,1,,1242,"Vitamin E, added",573,4/1/2020,,MG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,42,1,,1246,"Vitamin B-12, added",578,4/1/2020,,UG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,43,1,,1253,Cholesterol,601,4/1/2020,,MG,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,44,1,,1258,"Fatty acids, total saturated",606,4/1/2020,,G,1,325.8743,0.014
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,45,1,,1259,4:00,607,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,46,1,,1260,6:00,608,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,47,1,,1261,8:00,609,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,48,1,,1262,10:00,610,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,49,1,,1263,12:00,611,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,50,1,,1264,14:00,612,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,51,1,,1265,16:00,613,4/1/2020,,G,1,325.8743,0.012
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,52,1,,1266,18:00,614,4/1/2020,,G,1,325.8743,0.001
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,53,1,,1268,18:01,617,4/1/2020,,G,1,325.8743,0.012
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,54,1,,1269,18:02,618,4/1/2020,,G,1,325.8743,0.019
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,55,1,,1270,18:03,619,4/1/2020,,G,1,325.8743,0.005
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,56,1,,1271,20:04,620,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,57,1,,1272,22:6 n-3 (DHA),621,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,58,1,,1275,16:01,626,4/1/2020,,G,1,325.8743,0.001
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,59,1,,1276,18:04,627,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,60,1,,1277,20:01,628,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,61,1,,1278,20:5 n-3 (EPA),629,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,62,1,,1279,22:01,630,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,63,1,,1280,22:5 n-3 (DPA),631,4/1/2020,,G,1,325.8743,0
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,64,1,,1292,"Fatty acids, total monounsaturated",645,4/1/2020,,G,1,325.8743,0.013
"grapefruit, NS as to raw, canned,or frozen","<b>Includes</b>: grapefruit, NS as to <em>raw</em>, canned,or frozen",,Survey (FNDDS),,,Grapefruit,1,786546,61101010,65,1,,1293,"Fatty acids, total polyunsaturated",646,4/1/2020,,G,1,325.8743,0.024
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,1,2,,1003,Protein,203,4/1/2020,,G,1,325.17438,0.67
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,2,2,,1004,Total lipid (fat),204,4/1/2020,,G,1,325.17438,0.3
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,3,2,,1005,"Carbohydrate, by difference",205,4/1/2020,,G,1,325.17438,7.68
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,4,2,,1008,Energy,208,4/1/2020,,KCAL,1,325.17438,32
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,5,2,,1018,"Alcohol, ethyl",221,4/1/2020,,G,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,6,2,,1051,Water,255,4/1/2020,,G,1,325.17438,90.95
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,7,2,,1057,Caffeine,262,4/1/2020,,MG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,8,2,,1058,Theobromine,263,4/1/2020,,MG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,9,2,,2000,"Sugars, total including NLEA",269,4/1/2020,,G,1,325.17438,4.89
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,10,2,,1079,"Fiber, total dietary",291,4/1/2020,,G,1,325.17438,2
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,11,2,,1087,"Calcium, Ca",301,4/1/2020,,MG,1,325.17438,16
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,12,2,,1089,"Iron, Fe",303,4/1/2020,,MG,1,325.17438,0.41
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,13,2,,1090,"Magnesium, Mg",304,4/1/2020,,MG,1,325.17438,13
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,14,2,,1091,"Phosphorus, P",305,4/1/2020,,MG,1,325.17438,24
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,15,2,,1092,"Potassium, K",306,4/1/2020,,MG,1,325.17438,153
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,16,2,,1093,"Sodium, Na",307,4/1/2020,,MG,1,325.17438,1
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,17,2,,1095,"Zinc, Zn",309,4/1/2020,,MG,1,325.17438,0.14
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,18,2,,1098,"Copper, Cu",312,4/1/2020,,MG,1,325.17438,0.048
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,19,2,,1103,"Selenium, Se",317,4/1/2020,,UG,1,325.17438,0.4
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,20,2,,1105,Retinol,319,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,21,2,,1106,"Vitamin A, RAE",320,4/1/2020,,UG,1,325.17438,1
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,22,2,,1107,"Carotene, beta",321,4/1/2020,,UG,1,325.17438,7
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,23,2,,1108,"Carotene, alpha",322,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,24,2,,1109,Vitamin E (alpha-tocopherol),323,4/1/2020,,MG,1,325.17438,0.29
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,25,2,,1114,Vitamin D (D2 + D3),328,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,26,2,,1120,"Cryptoxanthin, beta",334,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,27,2,,1122,Lycopene,337,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,28,2,,1123,Lutein + zeaxanthin,338,4/1/2020,,UG,1,325.17438,26
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,29,2,,1162,"Vitamin C, total ascorbic acid",401,4/1/2020,,MG,1,325.17438,58.8
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,30,2,,1165,Thiamin,404,4/1/2020,,MG,1,325.17438,0.024
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,31,2,,1166,Riboflavin,405,4/1/2020,,MG,1,325.17438,0.022
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,32,2,,1167,Niacin,406,4/1/2020,,MG,1,325.17438,0.386
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,33,2,,1175,Vitamin B-6,415,4/1/2020,,MG,1,325.17438,0.047
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,34,2,,1177,"Folate, total",417,4/1/2020,,UG,1,325.17438,24
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,35,2,,1178,Vitamin B-12,418,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,36,2,,1180,"Choline, total",421,4/1/2020,,MG,1,325.17438,5.7
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,37,2,,1185,Vitamin K (phylloquinone),430,4/1/2020,,UG,1,325.17438,2.2
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,38,2,,1186,Folic acid,431,4/1/2020,,UG,1,325.17438,0
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,39,2,,1187,"Folate, food",432,4/1/2020,,UG,1,325.17438,24
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,40,2,,1190,"Folate, DFE",435,4/1/2020,,UG,1,325.17438,24
"strawberries, NS as to raw, cooked, canned, or frozen","<b>Includes</b>: strawberries, NS as to <em>raw</em>, cooked, canned, or frozen",,Survey (FNDDS),,,Strawberry,1,786790,63223020,41,2,,1242,"Vitamin E, added",573,4/1/2020,,MG,1,325.17438,0
